YearsExperience,PerformanceScore,Department,EducationLevel,RemoteStatus,Salary,Attrition
7.1,1.0,HR,Master,Onsite,70362.74,No
,5.0,Engineering,Bachelor,Remote,72118.67,No
4.5,4.0,Sales,Master,Remote,67411.56,No
2.0,4.0,Engineering,Master,Onsite,67369.62,No
3.0,4.0,HR,Bachelor,Onsite,55618.09,No
11.4,5.0,Engineering,PhD,Onsite,95743.79,No
2.4,2.0,Marketing,Master,Remote,60056.86,No
12.8,,Engineering,Bachelor,Onsite,79457.24,No
6.4,1.0,Marketing,Bachelor,Onsite,54139.04,Yes
8.2,2.0,Sales,Master,Remote,72403.28,Yes
9.4,4.0,Sales,Master,Onsite,76285.51,No
9.4,1.0,Marketing,Master,Remote,70622.46,Yes
8.6,,Engineering,Master,Remote,87552.71,No
2.3,4.0,Sales,Master,Onsite,65102.88,No
12.4,1.0,Marketing,Bachelor,Onsite,75001.29,No
4.0,3.0,Engineering,Master,Onsite,72751.67,Yes
7.1,5.0,HR,Master,Remote,78821.92,No
4.5,2.0,HR,Bachelor,Remote,49953.3,Yes
7.0,5.0,Marketing,Master,Onsite,75512.11,No
6.1,5.0,Engineering,Bachelor,Remote,76260.98,No
10.2,2.0,HR,Master,Onsite,70033.49,Yes
3.9,2.0,Engineering,Bachelor,Onsite,60778.37,No
9.0,4.0,Sales,Master,Onsite,78339.61,No
5.6,3.0,Marketing,Bachelor,Onsite,61469.55,No
,,Engineering,Master,Onsite,84358.37,No
5.9,5.0,Marketing,Bachelor,Onsite,68398.81,No
4.8,4.0,HR,Bachelor,Onsite,65215.81,No
23.0,,Engineering,Master,Remote,112347.62,No
3.4,5.0,Sales,Bachelor,Remote,62261.29,No
,4.0,Marketing,Master,Remote,64064.44,No
14.3,2.0,Engineering,Master,Onsite,86352.47,No
6.8,4.0,Engineering,Bachelor,Onsite,73062.76,No
2.3,5.0,Engineering,Bachelor,Onsite,72638.24,No
4.2,3.0,Sales,Bachelor,Remote,54832.51,Yes
3.9,2.0,Marketing,Bachelor,Onsite,59750.61,Yes
9.1,1.0,Engineering,Bachelor,Remote,70442.94,Yes
6.2,4.0,Sales,Bachelor,Remote,63994.22,No
9.8,3.0,Engineering,Bachelor,Onsite,71903.64,No
5.8,2.0,Engineering,Master,Onsite,73775.98,No
6.9,2.0,Engineering,Master,Remote,67765.07,Yes
7.9,1.0,Marketing,Bachelor,Onsite,58943.95,Yes
6.1,1.0,Engineering,Bachelor,Onsite,61248.55,Yes
13.9,2.0,Marketing,Bachelor,Remote,77437.5,No
,5.0,Engineering,PhD,Onsite,83154.74,No
7.9,1.0,Sales,Master,Remote,64831.44,Yes
5.5,4.0,Marketing,Master,Remote,73331.37,No
1.0,2.0,HR,Bachelor,Remote,43128.62,Yes
7.5,2.0,Marketing,Master,Remote,70880.77,Yes
3.6,1.0,Sales,Bachelor,Onsite,53193.42,Yes
16.3,4.0,Sales,PhD,Onsite,98623.23,No
2.6,4.0,Marketing,Master,Remote,68234.66,No
13.2,1.0,HR,Bachelor,Onsite,69338.53,No
22.0,4.0,Sales,Bachelor,Onsite,97622.84,No
2.7,1.0,HR,PhD,Onsite,59626.73,Yes
11.9,4.0,HR,Bachelor,Onsite,75009.92,No
8.9,5.0,Marketing,Bachelor,Onsite,67793.01,No
6.6,4.0,HR,Bachelor,Remote,60163.35,Yes
11.5,2.0,Sales,Bachelor,Onsite,72281.41,No
4.9,5.0,Sales,Bachelor,Onsite,57936.61,No
6.8,2.0,Sales,Master,Onsite,71313.53,No
4.5,2.0,Sales,Bachelor,Remote,51710.12,Yes
12.8,2.0,Sales,Master,Onsite,79402.1,No
7.2,3.0,Marketing,Master,Onsite,73608.54,No
5.4,5.0,Engineering,Bachelor,Remote,73293.06,No
3.5,2.0,Engineering,Master,Onsite,71400.35,No
2.9,1.0,Marketing,Master,Onsite,50806.59,Yes
1.0,4.0,Sales,Master,Onsite,64527.07,No
3.9,4.0,Sales,Master,Onsite,67584.23,No
17.5,,Engineering,Bachelor,Onsite,89545.26,No
9.9,2.0,Marketing,Master,Onsite,78236.78,No
9.1,5.0,Engineering,PhD,Onsite,97267.02,No
2.4,4.0,Sales,Bachelor,Onsite,53022.09,Yes
4.1,3.0,Marketing,Master,Remote,72357.24,No
7.1,4.0,Sales,Bachelor,Onsite,71725.99,No
6.9,4.0,Marketing,Master,Remote,76205.23,No
5.3,2.0,Engineering,Bachelor,Remote,66628.75,No
4.7,,Marketing,Bachelor,Remote,67314.95,No
6.8,1.0,HR,Bachelor,Remote,63612.69,Yes
1.9,2.0,Engineering,Bachelor,Onsite,177717.15,Yes
7.9,3.0,Sales,PhD,Onsite,74539.51,No
17.2,2.0,Sales,Bachelor,Onsite,83001.0,No
7.1,5.0,Sales,Bachelor,Remote,75690.08,No
3.2,2.0,Sales,Bachelor,Onsite,49782.01,Yes
17.5,5.0,Sales,Bachelor,Remote,89426.53,No
3.2,3.0,Sales,Bachelor,Remote,57843.11,Yes
8.2,1.0,HR,Bachelor,Remote,60369.46,No
6.6,3.0,Engineering,Bachelor,Remote,73471.32,No
5.2,5.0,Sales,Bachelor,Onsite,71841.2,No
,1.0,Sales,Bachelor,Remote,62220.3,Yes
6.4,1.0,Marketing,Bachelor,Remote,59539.45,Yes
2.5,4.0,Engineering,Master,Remote,71727.29,Yes
3.3,1.0,Sales,Bachelor,Onsite,50193.0,Yes
16.7,3.0,Sales,PhD,Onsite,98339.73,No
4.6,5.0,HR,Bachelor,Onsite,67763.0,No
2.9,2.0,Sales,Master,Onsite,60725.73,Yes
7.9,4.0,Engineering,Bachelor,Remote,77707.2,No
10.0,3.0,Marketing,Master,Remote,79456.47,Yes
5.6,1.0,Marketing,Bachelor,Remote,57881.43,Yes
14.5,1.0,Sales,Bachelor,Onsite,73118.14,Yes
3.4,5.0,Engineering,Master,Onsite,81428.06,No
7.0,5.0,Engineering,Bachelor,Onsite,70051.05,No
4.5,5.0,Marketing,Master,Onsite,66844.02,No
9.3,2.0,Sales,Bachelor,Onsite,72320.55,Yes
5.1,2.0,Sales,Master,Remote,66904.61,No
7.0,3.0,Sales,Master,Onsite,72822.57,No
10.9,3.0,Engineering,Bachelor,Remote,85622.75,No
1.8,5.0,Engineering,Master,Onsite,64706.58,No
16.4,2.0,Engineering,Bachelor,Onsite,93596.54,No
11.1,3.0,Engineering,Master,Onsite,81244.14,No
6.6,4.0,Marketing,Master,Onsite,69729.04,No
15.7,3.0,Engineering,Bachelor,Onsite,93714.97,No
2.2,1.0,Engineering,Master,Onsite,56197.14,Yes
4.9,2.0,Engineering,Master,Remote,73313.68,No
15.4,4.0,HR,PhD,Remote,103349.32,No
3.8,4.0,HR,Bachelor,Onsite,56181.63,No
9.4,3.0,Sales,Bachelor,Remote,68483.68,No
5.3,5.0,Sales,PhD,Onsite,82818.11,No
11.1,1.0,Engineering,Master,Remote,84595.29,No
6.6,3.0,Engineering,Master,Remote,79326.9,No
6.0,3.0,Sales,Bachelor,Onsite,55874.53,Yes
1.2,3.0,HR,Master,Onsite,62560.82,No
4.4,5.0,Sales,Master,Onsite,73729.98,No
7.2,4.0,Sales,Bachelor,Remote,59992.54,No
3.4,4.0,Marketing,Master,Onsite,63340.85,No
7.0,3.0,Sales,Master,Remote,67559.86,No
4.7,4.0,Engineering,Master,Remote,74059.21,No
3.8,3.0,Engineering,Bachelor,Onsite,65604.21,No
3.4,4.0,Marketing,Master,Remote,65579.07,No
1.5,2.0,Sales,Bachelor,Remote,55949.79,Yes
6.5,4.0,Sales,Master,Onsite,76884.95,No
6.4,5.0,HR,Master,Remote,75237.0,No
13.3,4.0,HR,Bachelor,Onsite,74517.09,No
13.5,1.0,Marketing,Bachelor,Remote,74047.55,No
7.3,2.0,Marketing,Bachelor,Remote,65857.04,Yes
3.3,3.0,Sales,Bachelor,Onsite,61179.83,No
5.9,4.0,Sales,Master,Onsite,69332.82,No
8.0,2.0,Engineering,Bachelor,Remote,72018.89,No
1.9,5.0,Marketing,Bachelor,Remote,58503.04,No
3.5,4.0,Marketing,Bachelor,Remote,60806.07,Yes
4.8,3.0,Engineering,Bachelor,Remote,72853.35,No
,3.0,Marketing,Master,Remote,75404.81,Yes
13.9,4.0,Engineering,Bachelor,Onsite,87610.1,No
7.5,4.0,Engineering,Bachelor,Onsite,74493.44,No
7.6,3.0,Engineering,Bachelor,Onsite,69517.35,No
4.5,3.0,Engineering,Master,Onsite,65931.61,No
10.3,2.0,Engineering,Bachelor,Remote,78021.04,Yes
6.6,5.0,Marketing,Bachelor,Onsite,72750.76,No
7.0,4.0,Marketing,Master,Remote,78417.79,No
1.4,4.0,Engineering,Bachelor,Onsite,62844.53,Yes
1.0,4.0,Marketing,Bachelor,Onsite,58016.85,Yes
6.4,5.0,Sales,Bachelor,Onsite,70101.53,No
2.2,2.0,Sales,Master,Onsite,61997.84,Yes
4.7,2.0,Sales,Master,Onsite,63768.3,No
8.6,1.0,Engineering,Bachelor,Remote,75565.34,No
1.9,3.0,Sales,Master,Onsite,63879.45,No
6.2,1.0,Marketing,Bachelor,Remote,60156.07,Yes
6.7,4.0,Marketing,Master,Remote,70400.8,No
9.9,5.0,Sales,Bachelor,Onsite,78859.09,No
0.7,2.0,Sales,Bachelor,Onsite,49153.05,Yes
3.9,5.0,Engineering,PhD,Onsite,91864.48,No
4.8,1.0,Sales,Master,Onsite,62249.37,Yes
11.1,1.0,Marketing,Master,Remote,70484.92,No
8.0,3.0,Engineering,Bachelor,Onsite,70228.55,No
2.0,,Marketing,Bachelor,Onsite,61855.75,Yes
10.0,2.0,Engineering,Master,Onsite,79627.55,No
1.7,1.0,Marketing,Bachelor,Remote,44458.44,Yes
2.7,4.0,Marketing,Master,Onsite,67433.05,Yes
3.4,5.0,Marketing,PhD,Remote,80614.6,No
7.0,2.0,Engineering,Bachelor,Onsite,67625.83,No
10.6,4.0,Engineering,Bachelor,Remote,87006.38,No
3.3,2.0,HR,Master,Onsite,56913.06,Yes
9.2,2.0,Sales,Bachelor,Remote,74679.26,No
,3.0,Engineering,Master,Onsite,66399.96,No
4.2,2.0,Engineering,Bachelor,Onsite,65851.69,Yes
2.7,2.0,Sales,PhD,Remote,70533.94,No
8.9,2.0,Engineering,Master,Onsite,83157.47,No
2.6,1.0,Engineering,Master,Onsite,61158.98,Yes
1.3,1.0,Marketing,Bachelor,Onsite,45278.02,Yes
6.7,3.0,Engineering,PhD,Onsite,90632.7,No
4.8,2.0,Marketing,Bachelor,Onsite,59666.28,Yes
3.1,4.0,Engineering,Bachelor,Onsite,63969.46,Yes
2.8,4.0,Sales,PhD,Remote,76509.41,Yes
5.4,1.0,HR,Bachelor,Remote,60388.33,Yes
2.2,2.0,Engineering,Master,Remote,68185.52,No
8.1,3.0,Sales,Master,Onsite,197490.5,No
4.4,4.0,Engineering,Bachelor,Remote,74457.7,No
3.6,3.0,HR,Bachelor,Onsite,49009.86,Yes
4.0,2.0,Marketing,Master,Onsite,64907.28,No
4.5,2.0,Sales,Bachelor,Onsite,59763.31,Yes
3.7,2.0,Marketing,Bachelor,Remote,55782.12,Yes
3.1,4.0,Engineering,PhD,Onsite,80418.51,Yes
2.7,2.0,Marketing,Master,Onsite,59671.12,Yes
8.8,4.0,Engineering,Bachelor,Onsite,76136.82,No
7.6,1.0,Marketing,Master,Remote,64229.6,Yes
,4.0,Engineering,Bachelor,Onsite,64355.27,No
2.8,4.0,Engineering,Master,Onsite,203637.47,No
2.2,1.0,Sales,Bachelor,Remote,55375.36,Yes
9.4,,Engineering,Bachelor,Onsite,64518.91,Yes
3.4,,HR,Bachelor,Onsite,68336.85,No
8.4,5.0,Marketing,PhD,Remote,257883.54,No
2.7,1.0,HR,Bachelor,Remote,45285.85,Yes
4.7,5.0,HR,Bachelor,Onsite,61693.02,No
4.6,,Marketing,Bachelor,Onsite,52896.15,Yes
1.6,3.0,Engineering,Bachelor,Remote,155933.05,Yes
8.8,4.0,HR,Master,Remote,80043.96,No
13.9,1.0,Engineering,Master,Onsite,84775.41,No
14.0,3.0,Engineering,Master,Onsite,88646.2,No
,1.0,Engineering,Bachelor,Remote,62436.67,Yes
4.0,1.0,Engineering,Master,Onsite,62348.68,Yes
1.7,2.0,Engineering,Master,Remote,59464.0,Yes
,4.0,Engineering,Master,Onsite,111524.29,No
5.6,4.0,Engineering,Bachelor,Onsite,168535.62,No
3.3,4.0,Marketing,Master,Onsite,62897.15,No
4.4,3.0,HR,Bachelor,Onsite,53307.91,Yes
1.2,1.0,Sales,Bachelor,Onsite,47620.71,Yes
5.9,4.0,Engineering,Bachelor,Onsite,73205.1,No
15.1,1.0,Engineering,Bachelor,Onsite,81330.83,Yes
4.2,2.0,HR,Bachelor,Onsite,52531.1,Yes
13.0,3.0,Marketing,Bachelor,Remote,80992.29,No
3.1,3.0,Marketing,PhD,Remote,68428.24,No
17.6,1.0,HR,Bachelor,Remote,81594.66,No
3.4,3.0,Sales,PhD,Onsite,64448.95,Yes
2.1,1.0,Sales,Master,Remote,57271.22,Yes
13.4,3.0,Marketing,Bachelor,Onsite,76710.97,No
2.3,4.0,Engineering,Master,Onsite,75143.51,No
6.3,2.0,Marketing,Master,Onsite,61736.6,Yes
7.8,4.0,Engineering,Bachelor,Onsite,74365.99,No
2.7,3.0,HR,Master,Remote,57486.38,Yes
16.4,1.0,Engineering,Bachelor,Remote,89900.88,No
5.3,2.0,HR,Bachelor,Remote,51384.83,Yes
0.9,1.0,Engineering,Bachelor,Onsite,55626.59,Yes
5.7,3.0,Engineering,Master,Remote,77922.87,No
4.3,4.0,Engineering,Bachelor,Onsite,71093.89,No
6.1,4.0,Sales,Master,Remote,70357.36,No
4.4,3.0,Engineering,Bachelor,Onsite,67741.36,No
4.5,3.0,Sales,Bachelor,Onsite,66052.89,Yes
14.1,3.0,Marketing,Bachelor,Remote,78944.77,No
12.1,4.0,Sales,Master,Onsite,85222.76,No
5.8,2.0,Marketing,Master,Onsite,64527.67,Yes
13.5,5.0,Marketing,Bachelor,Onsite,80948.61,No
4.6,4.0,HR,Master,Remote,64660.69,No
3.6,,Engineering,Master,Remote,73759.4,No
6.0,2.0,Sales,Bachelor,Onsite,58818.47,No
7.2,1.0,Engineering,PhD,Onsite,68508.32,Yes
14.4,4.0,Engineering,Bachelor,Remote,93669.15,No
4.4,4.0,Sales,Master,Remote,68269.64,Yes
3.6,2.0,Engineering,Master,Onsite,70630.99,Yes
6.4,3.0,Engineering,Bachelor,Remote,68965.46,No
10.6,4.0,Marketing,Bachelor,Onsite,85287.71,No
3.0,4.0,Marketing,Bachelor,Onsite,56305.0,Yes
,4.0,Sales,PhD,Onsite,73274.9,No
3.9,4.0,Sales,Bachelor,Onsite,56688.16,No
2.8,1.0,Sales,Master,Onsite,55859.82,Yes
5.8,1.0,Engineering,Bachelor,Remote,59289.96,Yes
2.1,1.0,HR,Bachelor,Remote,52129.4,Yes
4.9,2.0,Sales,Bachelor,Onsite,56605.58,Yes
8.3,3.0,Sales,Master,Remote,80509.08,No
2.1,5.0,Marketing,Master,Onsite,67020.86,No
3.2,4.0,Engineering,Master,Remote,67522.56,No
3.5,5.0,Engineering,Bachelor,Remote,68477.53,No
4.7,2.0,Sales,Master,Remote,62201.32,No
6.4,2.0,Sales,Bachelor,Onsite,65366.0,Yes
6.8,5.0,Engineering,Bachelor,Onsite,88197.85,No
2.0,5.0,Engineering,Bachelor,Onsite,66743.37,No
10.0,2.0,Sales,Bachelor,Remote,70172.07,Yes
9.4,2.0,Engineering,Bachelor,Onsite,78140.45,Yes
3.8,1.0,Engineering,Master,Remote,61114.77,Yes
7.3,2.0,HR,Master,Onsite,64467.59,Yes
4.1,2.0,Sales,Master,Onsite,63688.37,No
9.9,3.0,HR,Master,Onsite,75802.53,No
7.4,1.0,Sales,Bachelor,Onsite,58402.71,Yes
5.1,2.0,Engineering,Bachelor,Onsite,60200.4,No
9.4,3.0,HR,Bachelor,Onsite,67756.76,No
17.6,5.0,Sales,Master,Onsite,101811.51,No
16.4,2.0,Engineering,Bachelor,Onsite,84966.32,No
9.1,4.0,Marketing,Bachelor,Onsite,73207.91,No
14.3,1.0,Marketing,Bachelor,Onsite,82588.96,No
,4.0,Engineering,Bachelor,Remote,76019.35,No
1.5,3.0,Marketing,Bachelor,Remote,57622.49,Yes
3.7,2.0,Marketing,Bachelor,Remote,52525.25,Yes
15.9,5.0,Marketing,Bachelor,Onsite,88186.5,No
12.2,1.0,Marketing,Master,Onsite,74550.14,Yes
2.4,5.0,Sales,Master,Remote,65185.29,No
4.1,1.0,HR,Bachelor,Remote,46473.6,Yes
4.8,3.0,HR,Master,Onsite,57416.9,No
4.4,3.0,Engineering,Bachelor,Remote,66508.48,No
8.7,4.0,HR,Bachelor,Onsite,188225.46,No
4.0,4.0,Sales,Bachelor,Remote,65167.12,No
5.5,1.0,HR,Master,Onsite,61455.13,Yes
,,HR,Master,Remote,65518.35,No
2.2,1.0,Sales,Master,Onsite,122571.84,Yes
4.8,3.0,Sales,Bachelor,Onsite,56946.92,No
6.0,5.0,Engineering,Bachelor,Onsite,74657.66,No
2.9,2.0,Engineering,PhD,Onsite,68924.97,Yes
4.7,5.0,HR,PhD,Remote,79368.68,No
10.7,,Engineering,Master,Onsite,76017.38,Yes
3.6,4.0,HR,Bachelor,Onsite,62815.81,No
9.8,1.0,Marketing,Master,Remote,68768.59,Yes
12.9,4.0,Engineering,Master,Remote,96640.17,No
6.7,1.0,Sales,Bachelor,Remote,65485.04,Yes
8.0,4.0,Marketing,Bachelor,Onsite,65739.1,No
7.9,3.0,Engineering,Master,Onsite,76984.71,No
9.6,1.0,Marketing,Master,Remote,68787.37,Yes
7.6,1.0,Engineering,Master,Remote,69418.9,Yes
5.1,5.0,Marketing,Master,Onsite,74752.75,No
5.6,,Engineering,PhD,Remote,81661.28,No
3.9,4.0,Engineering,Bachelor,Remote,66558.77,No
5.0,5.0,Sales,PhD,Remote,78950.07,No
8.8,4.0,Engineering,Bachelor,Remote,80749.64,No
15.3,2.0,Sales,Bachelor,Onsite,79785.85,No
9.8,2.0,Sales,Bachelor,Onsite,62534.51,No
3.0,4.0,HR,Bachelor,Onsite,66306.54,No
7.1,2.0,Sales,Master,Onsite,66376.24,Yes
4.4,1.0,Engineering,Bachelor,Remote,61292.48,Yes
5.8,3.0,Marketing,Bachelor,Onsite,60267.72,Yes
4.4,3.0,HR,Bachelor,Remote,57305.22,Yes
1.9,4.0,HR,Master,Remote,58672.85,No
1.9,4.0,Sales,Master,Onsite,69302.95,Yes
12.6,3.0,Engineering,Bachelor,Onsite,75671.25,No
9.0,3.0,Engineering,Bachelor,Onsite,74760.2,No
,5.0,Marketing,Master,Onsite,77404.46,No
2.9,1.0,Sales,Bachelor,Remote,44401.14,Yes
8.1,1.0,Sales,Master,Remote,69554.06,Yes
6.7,1.0,Sales,Bachelor,Onsite,62536.03,No
3.4,3.0,HR,Bachelor,Onsite,55925.48,Yes
5.8,,Engineering,Bachelor,Onsite,75180.03,No
3.7,3.0,Sales,Master,Onsite,63233.16,Yes
6.7,5.0,Engineering,Bachelor,Remote,77444.0,No
3.4,4.0,Sales,Bachelor,Remote,63760.71,No
3.8,4.0,HR,Bachelor,Onsite,55325.89,Yes
9.9,1.0,Sales,Bachelor,Remote,66797.25,No
1.5,3.0,Sales,Bachelor,Onsite,51395.9,Yes
4.0,5.0,Engineering,PhD,Onsite,82073.51,No
7.6,,Marketing,Bachelor,Remote,60234.5,No
3.0,3.0,Engineering,Master,Remote,73098.11,No
2.4,4.0,HR,Master,Onsite,59477.42,No
5.5,2.0,Engineering,Master,Remote,76760.08,No
4.8,3.0,Engineering,Bachelor,Remote,68067.82,No
7.4,4.0,Marketing,Bachelor,Onsite,69327.63,No
9.9,1.0,Marketing,PhD,Onsite,73598.51,No
4.0,4.0,Sales,Bachelor,Remote,58699.54,Yes
13.0,5.0,HR,PhD,Onsite,96487.99,No
8.5,5.0,Engineering,Master,Remote,87965.25,No
4.0,3.0,Marketing,Bachelor,Remote,60734.97,Yes
4.6,5.0,Sales,PhD,Remote,82764.06,No
4.6,3.0,Sales,Bachelor,Onsite,61347.38,Yes
10.7,5.0,Sales,Bachelor,Onsite,77046.67,No
5.5,3.0,Engineering,Bachelor,Onsite,79727.54,No
3.9,2.0,Sales,Master,Onsite,73130.19,Yes
2.3,1.0,Engineering,Bachelor,Onsite,162988.25,Yes
4.5,5.0,Marketing,Master,Remote,68193.22,No
8.4,4.0,HR,PhD,Remote,79365.56,No
1.0,2.0,HR,Master,Onsite,54826.96,Yes
9.9,1.0,Engineering,Bachelor,Remote,70183.57,Yes
7.5,2.0,Marketing,Master,Remote,70323.19,No
8.9,2.0,Engineering,Master,Remote,71603.02,Yes
11.8,2.0,Marketing,Bachelor,Onsite,73924.73,No
4.4,3.0,Engineering,Bachelor,Onsite,70673.77,No
2.7,1.0,Sales,Bachelor,Onsite,44012.51,Yes
2.3,4.0,Sales,Bachelor,Onsite,56256.0,Yes
6.3,4.0,Sales,Bachelor,Onsite,64593.92,No
4.8,5.0,Sales,Master,Onsite,62140.42,No
1.2,5.0,Engineering,Bachelor,Onsite,63617.4,No
3.8,1.0,Sales,Bachelor,Remote,122150.6,Yes
6.2,,Sales,Master,Onsite,69445.77,Yes
3.6,3.0,HR,Bachelor,Onsite,51661.84,Yes
,1.0,Engineering,Bachelor,Onsite,58537.41,Yes
3.1,5.0,HR,Bachelor,Remote,63375.56,No
17.2,3.0,Engineering,Bachelor,Onsite,94019.47,No
13.8,4.0,Engineering,Bachelor,Remote,87976.19,No
6.1,5.0,Engineering,Bachelor,Remote,171768.98,No
8.1,2.0,Engineering,Bachelor,Remote,72491.55,No
11.2,4.0,Marketing,Bachelor,Remote,198668.56,No
14.0,5.0,Engineering,PhD,Onsite,109545.67,No
2.8,3.0,Marketing,Bachelor,Onsite,61137.23,Yes
5.5,5.0,Sales,Master,Onsite,71659.55,No
4.5,2.0,HR,Bachelor,Onsite,133137.44,Yes
10.0,3.0,Sales,Master,Remote,78833.44,No
4.4,4.0,Engineering,Bachelor,Onsite,66364.42,No
6.6,3.0,Sales,Bachelor,Remote,68249.19,Yes
8.5,1.0,Engineering,Bachelor,Remote,72350.4,No
12.4,2.0,Sales,Master,Remote,75737.56,No
7.8,5.0,Marketing,Bachelor,Onsite,77572.92,No
6.8,1.0,Marketing,Master,Remote,71549.11,No
1.2,4.0,HR,Bachelor,Remote,56364.9,Yes
8.3,1.0,Marketing,Bachelor,Onsite,64070.58,Yes
7.9,3.0,Sales,Bachelor,Onsite,64106.29,No
3.5,2.0,Sales,Bachelor,Onsite,50313.36,Yes
10.3,4.0,Sales,Bachelor,Onsite,79449.55,No
6.3,1.0,Engineering,Master,Onsite,70394.44,Yes
7.1,,Marketing,Bachelor,Onsite,65143.3,No
4.9,2.0,Marketing,Bachelor,Onsite,57414.3,No
12.9,1.0,HR,Bachelor,Remote,72801.05,No
1.1,4.0,HR,Bachelor,Onsite,52247.39,Yes
4.2,5.0,Marketing,Master,Remote,71326.29,No
4.8,2.0,Engineering,Bachelor,Onsite,62261.03,Yes
6.6,4.0,Sales,Bachelor,Remote,67510.01,No
2.1,5.0,Sales,Master,Onsite,64464.11,No
7.3,2.0,Sales,PhD,Onsite,75083.13,No
5.0,5.0,Marketing,Master,Remote,73033.61,No
,1.0,Sales,Master,Remote,56020.29,Yes
7.1,4.0,Sales,PhD,Onsite,88656.16,No
5.4,4.0,Marketing,Bachelor,Onsite,65169.04,No
13.7,5.0,Engineering,Bachelor,Onsite,98601.94,No
5.1,,Marketing,Bachelor,Onsite,54090.94,Yes
12.2,5.0,Sales,Bachelor,Onsite,84639.27,No
5.5,3.0,Engineering,PhD,Onsite,81195.27,No
3.2,5.0,Engineering,Bachelor,Onsite,76484.04,No
9.9,4.0,Marketing,Bachelor,Onsite,72729.25,No
5.9,4.0,Engineering,Master,Remote,86859.29,No
11.4,5.0,Engineering,Bachelor,Onsite,84585.42,No
5.4,4.0,Engineering,Master,Onsite,77170.51,No
5.9,1.0,Marketing,Bachelor,Onsite,51965.66,Yes
4.4,3.0,Sales,Bachelor,Onsite,58701.8,Yes
